Share Symbol,Share Price,Allocated Units,Weights,Holding Units,Entry Units,Exit Units
YNHPROP,4.83,3700.0,0.26051862465454767,300.0,3400.0,0.0
AMBANK,4.02,0.0,0.0,700.0,0.0,0.0
PBBANK,4.25,0.0,-0.0,900.0,0.0,900.0
MISC,7.09,500.0,0.05188449467173336,0.0,500.0,0.0
PADINI,3.39,11100.0,0.5394906518887935,11800.0,0.0,700.0
QL,5.53,1800.0,0.1481062287849253,2900.0,0.0,1100.0
YINSON,2.48,0.0,-0.0,0.0,0.0,0.0
