Share Symbol,Share Price,Allocated Units,Weights,Holding Units,Entry Units,Exit Units
YNHPROP,4.96,0.0,0.0,0.0,0.0,0.0
AMBANK,4.04,0.0,0.0,200.0,0.0,200.0
PBBANK,4.26,300.0,0.026381070485877886,0.0,300.0,0.0
MISC,7.1,200.0,0.03180022944328754,200.0,0.0,0.0
PADINI,3.51,10100.0,0.720941894238087,6300.0,3800.0,0.0
QL,5.5,1900.0,0.22087680583274763,0.0,1900.0,0.0
YINSON,2.5,0.0,0.0,0.0,0.0,0.0
