Share Symbol,Share Price,Allocated Units,Weights,Holding Units,Entry Units,Exit Units
AXREIT,1.81,0.0,-0.0,0.0,0.0,0.0
MAXIS,4.08,0.0,0.0,0.0,0.0,0.0
ABMB,3.42,1300.0,0.046207358111739545,0.0,1300.0,0.0
LYSAGHT,2.2,25200.0,0.5561096081518003,0.0,25200.0,0.0
HARBOUR,1.18,0.0,0.0,0.0,0.0,0.0
DIALOG,2.13,6900.0,0.14743371006815176,0.0,6900.0,0.0
SHL,1.98,0.0,-0.0,0.0,0.0,0.0
YOCB,1.88,0.0,0.0,0.0,0.0,0.0
VSTECS,1.37,0.0,0.0,0.0,0.0,0.0
GASMSIA,3.35,0.0,0.0,0.0,0.0,0.0
AHEALTH,2.44,0.0,0.0,0.0,0.0,0.0
SWKPLNT,2.11,0.0,0.0,0.0,0.0,0.0
IJM,1.9100000000000001,13300.0,0.2502493236683083,0.0,13300.0,0.0
