Share Symbol,Share Price,Allocated Units,Weights,Holding Units,Entry Units,Exit Units
0166.KLSE,2.96,0.0,0.0,21000.0,0.0,21000.0
2062.KLSE,1.18,0.0,0.0,5700.0,0.0,5700.0
2488.KLSE,3.38,0.0,0.0,5000.0,0.0,5000.0
3069.KLSE,3.54,0.0,0.0,0.0,0.0,0.0
3336.KLSE,1.9,0.0,-0.0,0.0,0.0,0.0
5031.KLSE,5.18,4700.0,0.2474029970196205,6600.0,0.0,1900.0
5106.KLSE,1.77,8500.0,0.15077094943056063,0.0,8500.0,0.0
5138.KLSE,1.8,22400.0,0.4033744516624234,0.0,22400.0,0.0
5200.KLSE,1.72,0.0,0.0,0.0,0.0,0.0
7029.KLSE,2.88,0.0,0.0,0.0,0.0,0.0
7090.KLSE,2.48,0.0,0.0,0.0,0.0,0.0
7216.KLSE,1.85,10700.0,0.19845160188739547,0.0,10700.0,0.0
7293.KLSE,2.42,0.0,0.0,0.0,0.0,0.0
